Term	Def	Axe	Cont
Schmieden	forgeron	Axe 1	Y
Ziel	l'arrivée/le but	Axe 1	Y
Nur	seulement	Axe 1	Y
sicherheit	sécurité	Axe 1	Y
Umfelt	environnement/alentours	Axe 1	Y
selbständiger	autonome	Axe 1	Y
Bereich	domaine	Axe 1	Y
umbedingt	nécessairement	Axe 1	Y
Erfahrungen	l'expérience	Axe 1	Y
wachsen	grandir	Axe 1	Y
Aachsen	ex-la-chapelle	Axe 1	Y
Märsenbroich	ville	Axe 1	Y
Anbieten	proposer	Axe 1	Y
Angeboten	voyager	Axe 1	Y
Besucher	visiteurs	Axe 1	Y
Werbung	publicité	Axe 1	Y
Selbständig	indépendement	Axe 1	Y
abscriegen	faire le pour et le contre	Axe 1	Y
Konkret	au paravant	Axe 1	Y
Kümmern	s'occuper de	Axe 1	Y
Oberstufe	lycée	Axe 1	Y
Berufserfahrungen	expérience du travail	Axe 1	Y
Flucht	Fuir	Axe 1	Y
Erfahrung	L'expérience	Axe 1	Y
Fremde	Etranger	Axe 1	Y
Beruf	Travail	Axe 1	Y
Freiheit	Libertée	Axe 1	Y
Messe	Foire/Salon	Axe 1	Y
Fremd(e)	Etranger	Axe 1	Y
Wandern	randonnée	Axe 1	Y
verrück	fou	Axe 1	Y
Decke	vacances	Axe 1	Y
Urlaub	vacances	Axe 1	Y
Gerichtighert	Justice	Axe 1	Y
entdecken	découvrir	Axe 1	Y
Andere	autre	Axe 1	Y
genießen	apprécier	Axe 1	Y
Nie	Jamais	Axe 1	Y
Käfigg	cage	Axe 1	Y
tot	mort	Axe 1	Y
stotten	bégayer	Axe 1	Y
Einsam	seul	Axe 1	Y
Wohnung	appartement	Axe 1	Y
Syrien	Sirien	Axe 1	Y
Schweigen	se taire	Axe 1	Y
macht Spaß	ceci est amusant	Axe 1	Y
Alles Klar	tout est claire	Axe 1	Y
Gold	Or	Axe 1	Y
Geld	Argent	Axe 1	Y
Rückkehr	retourner	Axe 1	Y
einig	uni	Axe 1	Y
schätzen	apprécier	Axe 1	Y
Ganz besonders	particulièrement	Axe 1	Y
beiden	les deux	Axe 1	Y
weltoffene	environnement ouvert	Axe 1	Y
Hauptstadt	la capitale	Axe 1	Y
grundsätzlich	En principe	Axe 1	Y
ausgebildeter	formé	Axe 1	Y
Mineralölgesellschaft	companie pétrolière	Axe 1	Y
überlegt	réflechir	Axe 1	Y
Perspektiven	Perspectives	Axe 1	Y
ernsthaft	sérieusement	Axe 1	Y
weiterzuentwickeln	progresser	Axe 1	Y
unverändert	inchangé	Axe 1	Y
raue	rude	Axe 1	Y
Umgangston	Etiquette	Axe 1	Y
verändert	changer	Axe 1	Y
bewogen	inciter	Axe 1	Y
Beweggrund	raison	Axe 1	Y
Ähnliches	similaire	Axe 1	Y
angesehenen	réputé	Axe 1	Y
Gymnasium	collège/lycée	Axe 1	Y
scheitern	échouer	Axe 1	Y
Leidenschaft 	passion	Axe 1	Y
geführt	conduir, mener à	Axe 1	Y
Behäbig	lourd,un système mal conçu	Axe 1	Y
hiesige	local	Axe 1	Y
Burgenland	région touchant la croatie	Axe 1	Y
Lehrplan	Le cursus	Axe 1	Y
fordernd	exigent	Axe 1	Y
Begabungen	Talen	Axe 1	Y
wickeln	dévellopper	Axe 1	Y
Würfel	dé	Axe 1	Y
gefallen zu sein	sont tombé	Axe 1	Y
verspürt	ressentir	Axe 1	Y
spüren	une trace	Axe 1	Y
Fremder	étranger	Axe 1	Y
adere	les autres	Axe 1	Y
wirken	apparaitre	Axe 1	Y
entweder	soit	Axe 1	Y
kürzlich	récemment	Axe 1	Y
eröffnet	réveller	Axe 1	Y
kündigen	démissionner	Axe 1	Y
gefordert	défiant	Axe 1	Y
Selbstverständlich	Biensûre	Axe 1	Y
auswandern	émigrer	Axe 1	Y
Verkäuferin(nen,er)	un vendeur	Axe 1	Y
Lebensmittelpreisen	Le prix de la nourriture	Axe 1	Y
Weh	douleur	Axe 1	Y
Fernweh	Le désir d'exploration	Axe 1	Y
bereit	prêt	Axe 1	Y
Gleich	pareil, même	Axe 4	Y
Gleichaltrige	même âge	Axe 4	Y
alt	âge	Axe 4	Y
nett	sympas,gentil	Axe 4	Y
Wirklichkeit	réalité	Axe 4	Y
Fremd(e)	Etrangers	Axe 4	Y
Meistens	La pluspart	Axe 4	Y
Lass		Axe 4	Y
begleiten	accompagner, conseiller	Axe 4	Y
minderjährig	mineur	Axe 4	Y
Verantwortung	responsabilité	Axe 4	Y
eklig	dégoutant	Axe 4	Y
komisch	bizzare	Axe 4	Y
behalten	garder pour soi	Axe 4	Y
gillt	aller,valoir	Axe 4	Y
gehen	aller,valoir	Axe 4	Y
besonders	particulièrement	Axe 4	Y
darüber	immédiatement	Axe 4	Y
werben			
lauern	courrir (des risques)		
